num_elements,VEC,delta_r,delta_en,S_mix,H_mix,T_melt,omega,x_Ag,x_Al,x_B,x_C,x_Ca,x_Co,x_Cr,x_Cu,x_Fe,x_Ga,x_Hf,x_Li,x_Mg,x_Mn,x_Mo,x_Nb,x_Nd,x_Ni,x_Pd,x_Re,x_Sc,x_Si,x_Sn,x_Ta,x_Ti,x_V,x_W,x_Y,x_Zn,x_Zr,test_temperature,test_type_compression,micro_BCC_based,micro_BCC_single,micro_FCC_based,micro_FCC_single,micro_Mixed,micro_Unknown,proc_ANNEAL,proc_CAST,proc_OTHER,proc_POWDER,proc_WROUGHT,grain_size_known,grain_size_log,YS_MPa
4,8.0,1.2548720873684036,0.15049916943292407,11.52565131835077,-5.5,1798.75,3.7694118743417597,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.6109179126442243,282.0
3,8.333333333333332,1.352525069918506,0.11145502331533658,9.133862567986663,-4.888888888888888,1892.0,3.5348048138101156,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.7376696182833684,300.0
4,8.5,0.8908637360556924,0.14289419162443232,11.52565131835077,-4.0,1706.5,4.917130993690168,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.8918202981106265,170.0
3,9.0,0.6531972647421814,0.03299831645537215,9.133862567986663,-1.3333333333333333,1769.0,12.118352162067216,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.367295829986474,211.0
3,8.666666666666666,0.995121645418606,0.16309506430300083,9.133862567986663,-5.777777777777778,1671.6666666666665,2.6426723526026064,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.4965075614664802,231.0
3,8.333333333333332,0.9924820654572751,0.15434449203720296,9.133862567986663,-4.444444444444445,1686.0,3.4649307651649606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,0,0,0,1,1,3.4339872044851463,221.0
5,8.168413356080917,2.76282378401149,0.10148789936057746,12.211432904587419,-5.473010985880338,1893.797221545211,4.225457936308045,0.0,0.0,0.0,0.0,0.0,0.24372410431391667,0.24372410431391667,0.0,0.24372410431391667,0.0,0.0,0.0,0.0,0.0,0.0,0.025103582744333414,0.0,0.24372410431391667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0,0,1,5.170483995038151,318.0
5,8.12876052948255,3.243126765183566,0.10363100093899562,12.419954070450968,-6.276635952508178,1904.5126353790613,3.768572789145984,0.0,0.0,0.0,0.0,0.0,0.24067388688327315,0.24067388688327315,0.0,0.24067388688327315,0.0,0.0,0.0,0.0,0.0,0.0,0.03730445246690734,0.0,0.24067388688327315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0,0,1,5.170483995038151,322.0
5,8.090822634331905,3.631192218852872,0.10557686703197539,12.58648848468062,-7.024812729318823,1914.764621968616,3.430719621135768,0.0,0.0,0.0,0.0,0.0,0.2377555872563005,0.2377555872563005,0.0,0.2377555872563005,0.0,0.0,0.0,0.0,0.0,0.0,0.0489776509747979,0.0,0.2377555872563005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0,0,1,5.170483995038151,403.0
5,8.016941285681133,4.257399425890542,0.10909353331179962,12.844494191233121,-8.423759798111547,1934.7296356463216,2.950063173956344,0.0,0.0,0.0,0.0,0.0,0.23207240659085634,0.23207240659085634,0.0,0.23207240659085634,0.0,0.0,0.0,0.0,0.0,0.0,0.0717103736365746,0.0,0.23207240659085634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0,0,1,5.170483995038151,479.0
5,7.9465095194922934,4.74614983401158,0.11213607852267439,13.0291406383082,-9.685938539004725,1953.7624660018132,2.6281238354831173,0.0,0.0,0.0,0.0,0.0,0.22665457842248413,0.22665457842248413,0.0,0.22665457842248413,0.0,0.0,0.0,0.0,0.0,0.0,0.09338168631006347,0.0,0.22665457842248413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,1,0,0,0,0,1,0,0,0,1,5.170483995038151,638.0
4,8.25,1.1761590026042914,0.09669539802906858,11.52565131835077,-3.75,1871.75,5.752836761364613,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0,0,0,0,1,0,0,0,1,0,0,0,1,5.170483995038151,148.0
5,7.2,5.16005869614147,0.11918446836731703,12.795332770171868,-11.397499999999999,1725.625,1.9372622164093787,0.0,0.175,0.0,0.0,0.0,0.075,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0.0,2033.0
5,7.2,5.437822931966038,0.12056533498481224,13.380866803977112,-12.320000000000004,1684.0,1.8290080923616574,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1251.0
6,7.137254901960786,7.831831050915121,0.16033653573189,13.920872366202895,-11.841599384851985,1725.9411764705883,2.029000141649313,0.0,0.19607843137254904,0.0,0.019607843137254905,0.0,0.19607843137254904,0.19607843137254904,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19607843137254904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,957.0
6,7.076923076923077,9.572172165970983,0.18978343310017848,14.221596536363382,-11.390532544378694,1766.2692307692305,2.205267249509522,0.0,0.1923076923076923,0.0,0.038461538461538464,0.0,0.1923076923076923,0.1923076923076923,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,906.0
6,7.018867924528302,10.977836776648406,0.21339781124813956,14.431908651129232,-10.964756140975437,1805.0754716981132,2.375856241671172,0.0,0.18867924528301888,0.0,0.05660377358490566,0.0,0.18867924528301888,0.18867924528301888,0.0,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18867924528301888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,867.0
6,6.962962962962963,12.168340380690418,0.23310100132251313,14.58502024404227,-10.562414266117967,1842.4444444444443,2.544123800080724,0.0,0.18518518518518517,0.0,0.07407407407407407,0.0,0.18518518518518517,0.18518518518518517,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,1056.0
